Country,1990,2021,Absolute Change,Relative Change,1990.1,2021.0.1,Absolute Change.1,Relative Change.1,1990.2,2021.0.2,Absolute Change.2,Relative Change.2,Smoking_1990,Smoking_2021,Change,Percent_Change,Disease1,Disease2,Disease3,Disease4,Disease5,Disease6,Disease7,Disease8,Disease9,Disease10,Disease11,Disease12,Disease13,Disease14,Disease15,Disease16,Disease17,Disease18,Disease19,Disease20,Disease21,Disease22,Disease23,Disease24,Disease25,Disease26,Disease27,Disease28,Metric1,Metric2,Population
Slovakia,33.5,12.9,-20.6,-0.61,798.7,436.9,-361.8,-0.45,453.7,217.2,-236.4,-0.52,132.6,62.7,-70,-0.53,16028,4303,2914,2773,1702,4,1286,17,235,1093,9,870,5970,6133,4306,6240,1,321,362,0,8,5,0,4229,725,21,6842,94,0.374,0.256,5455028
Togo,9.9,7.7,-2.2,-0.22,508.7,280.9,-227.8,-0.45,208.9,145.2,-63.7,-0.3,75,47.2,-27.8,-0.37,6649,466,560,1146,1939,2289,519,1103,2550,36,6836,1486,1829,2326,8268,2184,1845,124,240,51,869,227,101,1400,135,1818,1553,3930,0.123,0.012,8669722
Romania,33.6,24.5,-9.1,-0.27,684.6,379.6,-305,-0.45,355.7,273.1,-82.6,-0.23,116.8,73.2,-43.6,-0.37,90637,23784,9336,16648,7035,162,4926,159,1940,6525,939,515,25483,26019,19241,28153,114,1509,1030,1,48,40,4,18187,3636,140,31256,381,0.359,0.2,19392469
Botswana,25.7,13.4,-12.3,-0.48,1013.2,562.3,-450.9,-0.45,387.3,171.2,-216,-0.56,143.8,69,-74.9,-0.52,1889,95,169,440,573,475,227,306,5196,136,187,382,985,1227,1008,1165,440,158,43,8,155,65,7,799,171,299,332,666,0.304,0.083,2365895
Cyprus,10.9,6.9,-4,-0.37,861.4,478.9,-382.6,-0.44,243.1,123.9,-119.2,-0.49,121.4,52.3,-69.2,-0.57,1645,134,374,223,144,2,142,3,29,37,0,158,1065,1212,556,833,1,28,87,0,0,0,0,502,147,3,632,11,0.47,0.232,1302250
Latvia,37.7,17.9,-19.8,-0.53,630.6,350.9,-279.7,-0.44,420.1,241,-179.1,-0.43,121,63.8,-57.2,-0.47,8768,594,1382,1730,1028,1,458,7,175,624,80,450,2343,2648,1581,3016,0,201,138,0,1,0,0,1491,349,4,3605,17,0.503,0.237,1901119
Slovenia,19,6.9,-12.2,-0.64,481.5,268.5,-212.9,-0.44,296.4,139.3,-157.1,-0.53,83.4,38.6,-44.8,-0.54,3824,1121,432,985,321,5,321,7,55,144,13,403,1674,1825,901,2061,1,127,366,0,1,1,0,817,209,6,1130,10,0.244,0.196,2102419
Lithuania,32.8,18.3,-14.6,-0.44,754.4,421.3,-333.1,-0.44,346.5,219.4,-127.1,-0.37,115,65,-50,-0.44,12027,866,2040,1843,1080,4,530,8,235,1097,21,553,3578,3157,1741,3996,2,324,221,0,1,1,0,1707,756,6,5567,18,0.421,0.218,2795766
Comoros,11.4,6.8,-4.6,-0.4,612.5,345.1,-267.4,-0.44,183.4,79.6,-103.7,-0.57,77.3,39.4,-37.8,-0.49,668,100,63,59,103,107,69,100,73,16,665,217,176,341,706,270,94,13,41,2,46,17,6,40,16,123,134,323,0.295,0.111,802172
Bolivia,9.6,3.5,-6.1,-0.64,415.6,236,-179.6,-0.43,175.1,76.2,-98.9,-0.56,60.1,29.1,-31,-0.52,7707,1439,1321,2558,1574,280,614,875,1492,65,2126,1819,2521,8497,6090,6245,210,231,436,4,239,88,76,3875,603,362,2540,1443,0.205,0.048,11816300
Guyana,15.9,11.6,-4.3,-0.27,385.7,221.7,-164,-0.43,210.8,114.9,-95.9,-0.45,67.9,38,-29.9,-0.44,1304,125,142,313,315,36,65,51,179,13,69,242,251,1128,554,837,18,42,33,0,7,6,5,485,87,28,362,158,0.217,0.024,807487
