Afghanistan,25371,1052,7478,296,7168,3125,3144,4372,717,2764,25968,8312,6286,13837,30644,12218,2449,588,810,687,3931,1077,609,4502,1873,2517,11108,14025
Canada,35162.0,3646.0,6482.0,10374.0,3857.0,64.0,2581.0,440.0,917.0,406.0,1.0,3095.0,32295.0,24195.0,3976.0,22123.0,66.0,4762.0,4307.0,0.0,2.0,10.0,7.0,3261.0,1847.0,41.0,14634.0,564.0
Cape Verde,729.0,54.0,61.0,153.0,116.0,34.0,36.0,14.0,76.0,12.0,129.0,69.0,99.0,397.0,491.0,248.0,30.0,6.0,17.0,0.0,3.0,2.0,1.0,360.0,21.0,66.0,186.0,45.0
Central African Republic,4456.0,270.0,563.0,1648.0,1172.0,3359.0,388.0,2802.0,4461.0,24.0,7043.0,1542.0,1549.0,2927.0,7756.0,1902.0,2818.0,171.0,221.0,133.0,1730.0,577.0,170.0,679.0,151.0,2269.0,953.0,4701.0
Chad,8915.0,739.0,1701.0,2672.0,2885.0,20310.0,1316.0,18676.0,3278.0,203.0,18819.0,2744.0,2002.0,4409.0,22844.0,2518.0,17310.0,188.0,435.0,1462.0,10846.0,4616.0,704.0,3981.0,283.0,12332.0,1994.0,20072.0
Chile,18440.0,2538.0,2745.0,5560.0,2185.0,58.0,1826.0,401.0,1322.0,957.0,258.0,1507.0,5524.0,10564.0,7029.0,11211.0,37.0,1317.0,889.0,0.0,3.0,5.0,8.0,6655.0,721.0,46.0,4806.0,402.0
China,2901717.0,851122.0,331658.0,381044.0,314148.0,2381.0,483037.0,13811.0,72981.0,115248.0,415468.0,42253.0,2304209.0,956264.0,2349332.0,575624.0,1686.0,54762.0,87912.0,7.0,1724.0,1173.0,217.0,1857360.0,148152.0,5937.0,832884.0,19836.0
Colombia,45162.0,10126.0,5876.0,4966.0,3374.0,525.0,2711.0,1541.0,5039.0,3570.0,1523.0,4522.0,10772.0,22860.0,14605.0,21017.0,191.0,789.0,1528.0,1.0,99.0,69.0,65.0,12763.0,2633.0,340.0,15997.0,2226.0
Comoros,668.0,100.0,63.0,59.0,103.0,107.0,69.0,100.0,73.0,16.0,665.0,217.0,176.0,341.0,706.0,270.0,94.0,13.0,41.0,2.0,46.0,17.0,6.0,40.0,16.0,123.0,134.0,323.0
Congo,5368.0,318.0,534.0,1696.0,1101.0,745.0,330.0,447.0,4252.0,46.0,2533.0,1545.0,1318.0,2931.0,4116.0,2514.0,643.0,160.0,194.0,13.0,195.0,93.0,81.0,1549.0,155.0,517.0,1227.0,1370.0
Cook Islands,38.0,9.0,6.0,6.0,8.0,0.0,5.0,0.0,1.0,0.0,0.0,9.0,15.0,48.0,4.0,40.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,10.0,0.0
